Tissue,gene,baseMean,avg_N,avg_D,avg_T,D_vs_N_FoldChange,D_vs_N_log2FoldChange,D_vs_N_stat,D_vs_N_pvalue,D_vs_N_padj,T_vs_D_FoldChange,T_vs_D_log2FoldChange,T_vs_D_stat,T_vs_D_pvalue,T_vs_D_padj,T_vs_N_FoldChange,T_vs_N_log2FoldChange,T_vs_N_stat,T_vs_N_pvalue,T_vs_N_padj
Gut1,RSRP1,5042,10887,2363,3825,0.2,-2.2,-8.296,0.00,0.00,1.6,0.7,2.922,0.00,0.90,0.4,-1.5,-5.683,0.00,0.00
Gut1,NR1D1,2616,984,3849,2472,3.9,2.0,7.665,0.00,0.00,0.6,-0.6,-2.788,0.01,0.96,2.5,1.3,5.174,0.00,0.00
Gut1,SGK1,12115,5545,16908,11704,3.0,1.6,7.377,0.00,0.00,0.7,-0.5,-2.723,0.01,0.98,2.1,1.1,4.943,0.00,0.00
Heart,RSRP1,5865,8681,3391,5454,0.4,-1.4,-9.225,0.00,0.00,1.6,0.7,4.446,0.00,0.02,0.6,-0.7,-4.351,0.00,0.03
Liver,RSRP1,2136,4465,1081,1462,0.2,-2.0,-7.466,0.00,0.00,1.4,0.4,1.759,0.08,1.00,0.3,-1.6,-6.112,0.00,0.00
Lungs,DUSP1,9064,6579,9552,12570,1.9,0.9,7.584,0.00,0.00,1.3,0.4,3.412,0.00,0.22,1.5,0.5,5.851,0.00,0.00
Lungs,NME5,366,284,342,602,2.1,1.1,7.297,0.00,0.00,1.8,0.8,5.877,0.00,0.00,1.2,0.3,2.326,0.02,0.30
Pect,TMEM39B,297,375,239,280,0.6,-0.7,-6.145,0.00,0.00,1.2,0.2,2.2,0.03,1.00,0.7,-0.4,-4.251,0.00,0.02
Pect,BHLHE40,2925,1378,4142,3200,3.0,1.6,5.963,0.00,0.00,0.8,-0.4,-1.462,0.14,1.00,2.3,1.2,4.766,0.00,0.01
Pect,LOC115598688,392,227,563,386,2.5,1.3,5.949,0.00,0.00,0.7,-0.5,-2.572,0.01,1.00,1.7,0.8,3.641,0.00,0.08
